"co_ano","co_mes","produtos","pais_origem","co_via","kg_liquido","vlr"
1997,8,"OutrosProd","Outros","06",22235765,7651067
1997,8,"OutrosProd","Outros","07",444596196,441185038
1997,8,"OutrosProd","Outros","08",0,88803124
1997,8,"OutrosProd","Outros","09",2486642,8267879
1997,8,"OutrosProd","Russia","01",18000106,9030455
1997,8,"OutrosProd","Russia","04",2828,1995943
1997,8,"OutrosProd","Russia","07",4680,7560
1997,8,"Petroleo","Outros","01",1606639952,260052567
1997,8,"Petroleo","Outros","04",9447,150595
1997,8,"Petroleo","Outros","05",2,1248
1997,8,"Petroleo","Outros","07",125980,41846
1997,9,"Fertilizantes","Outros","01",794440726,159644667
1997,9,"Fertilizantes","Outros","04",205997,4561418
1997,9,"Fertilizantes","Outros","05",5,458
1997,9,"Fertilizantes","Outros","07",4616612,4135746
1997,9,"Fertilizantes","Russia","01",164286402,23050770
1997,9,"Fertilizantes","Ucrania","01",109339223,23667719
1997,9,"OutrosProd","Outros","01",5613964043,3216169198
1997,9,"OutrosProd","Outros","02",14789433,17734685
1997,9,"OutrosProd","Outros","03",10000000,2477600
1997,9,"OutrosProd","Outros","04",19354099,1175186125
1997,9,"OutrosProd","Outros","05",7349,794357
1997,9,"OutrosProd","Outros","06",33706542,11908789
1997,9,"OutrosProd","Outros","07",453847090,450728692
1997,9,"OutrosProd","Outros","08",0,88618827
1997,9,"OutrosProd","Outros","09",4015189,30405593
1997,9,"OutrosProd","Russia","01",24754557,8051175
1997,9,"OutrosProd","Russia","04",4539,2129782
1997,9,"OutrosProd","Russia","07",2600,4200
1997,9,"OutrosProd","Ucrania","01",16543580,3210726
1997,9,"OutrosProd","Ucrania","04",100,1020
1997,9,"OutrosProd","Ucrania","07",20375,97439
1997,9,"Petroleo","Outros","01",1458986369,272688547
1997,9,"Petroleo","Outros","04",6877,93908
1997,9,"Petroleo","Outros","07",367527,169500
1997,10,"Fertilizantes","Outros","01",715251097,146146910
1997,10,"Fertilizantes","Outros","04",266518,6615232
1997,10,"Fertilizantes","Outros","05",6,788
1997,10,"Fertilizantes","Outros","06",260000,60020
1997,10,"Fertilizantes","Outros","07",5225409,4978170
1997,10,"Fertilizantes","Russia","01",214719147,27346739
1997,10,"Fertilizantes","Ucrania","01",84358549,13213827
1997,10,"OutrosProd","Outros","01",5353553833,3322070336
1997,10,"OutrosProd","Outros","02",7484522,8414998
1997,10,"OutrosProd","Outros","03",23000000,5708500
1997,10,"OutrosProd","Outros","04",22325887,1307285772
1997,10,"OutrosProd","Outros","05",6595,730485
1997,10,"OutrosProd","Outros","06",40876604,14585900
1997,10,"OutrosProd","Outros","07",402260033,458022884
1997,10,"OutrosProd","Outros","08",0,88618827
1997,10,"OutrosProd","Outros","09",1418582,10390184
1997,10,"OutrosProd","Russia","01",2416135,3243847
1997,10,"OutrosProd","Russia","04",354,1343110
1997,10,"OutrosProd","Russia","07",2860,4620
1997,10,"OutrosProd","Russia","09",720,45000
1997,10,"OutrosProd","Ucrania","01",1924363,435089
1997,10,"OutrosProd","Ucrania","04",378,3947
1997,10,"OutrosProd","Ucrania","07",19195,112234
1997,10,"Petroleo","Outros","01",1505324125,284904661
1997,10,"Petroleo","Outros","04",29743,99249
1997,10,"Petroleo","Outros","07",645101,264100
1997,10,"Petroleo","Russia","01",21238645,9000729
1997,11,"Fertilizantes","Outros","01",621867405,123124607
1997,11,"Fertilizantes","Outros","04",235738,5152450
1997,11,"Fertilizantes","Outros","05",49,2268
1997,11,"Fertilizantes","Outros","07",4197103,4082541
1997,11,"Fertilizantes","Russia","01",188122772,23663224
1997,11,"Fertilizantes","Ucrania","01",54320490,9750856
1997,11,"OutrosProd","Outros","01",6316235117,3146750947
1997,11,"OutrosProd","Outros","02",28914836,34242640
1997,11,"OutrosProd","Outros","03",15500000,2455850
1997,11,"OutrosProd","Outros","04",18788870,1153566588
1997,11,"OutrosProd","Outros","05",5334,715961
1997,11,"OutrosProd","Outros","06",30517134,11747770
1997,11,"OutrosProd","Outros","07",368605260,404728671
1997,11,"OutrosProd","Outros","08",0,88618827
1997,11,"OutrosProd","Outros","09",3544184,4762748
1997,11,"OutrosProd","Russia","01",23393444,7041790
1997,11,"OutrosProd","Russia","04",710,2507373
1997,11,"OutrosProd","Ucrania","01",549259,435638
1997,11,"OutrosProd","Ucrania","04",178,1895
1997,11,"Petroleo","Outros","01",1598879501,301815663
1997,11,"Petroleo","Outros","04",24160,150759
1997,11,"Petroleo","Outros","07",876098,347802
1997,11,"Petroleo","Russia","01",39335042,6661949
1997,12,"Fertilizantes","Outros","01",520533486,112505990
1997,12,"Fertilizantes","Outros","04",262241,5608706
1997,12,"Fertilizantes","Outros","05",14,586
1997,12,"Fertilizantes","Outros","07",3474332,2868504
1997,12,"Fertilizantes","Russia","01",171424657,21764960
1997,12,"Fertilizantes","Ucrania","01",47196240,6153961
1997,12,"OutrosProd","Outros","01",5471999189,3253624448
1997,12,"OutrosProd","Outros","02",12311436,14745899
1997,12,"OutrosProd","Outros","03",24000000,2640000
1997,12,"OutrosProd","Outros","04",17517613,1178643640
1997,12,"OutrosProd","Outros","05",7646,881646
1997,12,"OutrosProd","Outros","06",26727189,10539030
1997,12,"OutrosProd","Outros","07",386775864,376376741
1997,12,"OutrosProd","Outros","08",0,88434531
1997,12,"OutrosProd","Outros","09",1726654,14193246
1997,12,"OutrosProd","Russia","01",2104100,4908200
1997,12,"OutrosProd","Russia","04",3202,1695850
1997,12,"OutrosProd","Ucrania","01",8058,42142
1997,12,"OutrosProd","Ucrania","04",290,3395
1997,12,"Petroleo","Outros","01",1412244417,268539011
1997,12,"Petroleo","Outros","04",6604,55422
1997,12,"Petroleo","Outros","07",1228276,375960
1998,1,"Fertilizantes","Outros","01",301693107,81084849
1998,1,"Fertilizantes","Outros","04",236544,3834397
1998,1,"Fertilizantes","Outros","05",12,1008
1998,1,"Fertilizantes","Outros","07",3273969,4151051
1998,1,"Fertilizantes","Russia","01",117829262,16055567
1998,1,"Fertilizantes","Ucrania","01",81635095,11399015
1998,1,"OutrosProd","Outros","01",5053106608,2970944971
1998,1,"OutrosProd","Outros","02",17701951,21189482
1998,1,"OutrosProd","Outros","03",8250000,907500
1998,1,"OutrosProd","Outros","04",13599618,931948557
1998,1,"OutrosProd","Outros","05",4618,628556
1998,1,"OutrosProd","Outros","06",20472812,7916155
1998,1,"OutrosProd","Outros","07",372393878,314677559
1998,1,"OutrosProd","Outros","08",0,90203394
1998,1,"OutrosProd","Outros","09",1260302,5157934
1998,1,"OutrosProd","Russia","01",1371321,3407578
